       tAtm       Prec      rSoil      rRoot     hCritA         rB         hB         ht       tTop       tBot       Ampl       cTop       cBot  RootDepth
        222         4.7         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        223         2.6         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        224         3.9         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        225         3.6         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        226         2.5         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        227         0.8         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        228         6.2        0.79           0       1e+05           0           0           0           0           0           0           0           0           0
        229         0.8         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        230         0.6         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        231           1         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        232           0         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        233         1.1         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        234           0         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        235         1.5         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        236           0         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        237           0         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        238           0         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        239           0         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        240         0.4         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        241           0         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        242           0         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        243         0.1         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        244         4.3         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        245         2.8         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        246         3.8         1.1           0       1e+05           0           0           0           0           0           0           0           0           0
        247         7.3         0.5           0       1e+05           0           0           0           0           0           0           0           0           0
        248        10.4         1.4           0       1e+05           0           0           0           0           0           0           0           0           0
        249         3.8         0.7           0       1e+05           0           0           0           0           0           0           0           0           0
        250         0.4         0.8           0       1e+05           0           0           0           0           0           0           0           0           0
        251           0         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        252           0         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        253           0         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        254           0         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        255         0.2         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        256           0         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        257           0         0.1           0       1e+05           0           0           0           0           0           0           0           0           0
        258           0         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
        259           0         0.4           0       1e+05           0           0           0           0           0           0           0           0           0
        260           0         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        261         8.1         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        262           6         0.6           0       1e+05           0           0           0           0           0           0           0           0           0
        263         3.2         0.9           0       1e+05           0           0           0           0           0           0           0           0           0
        264         0.3         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        265         0.1         0.3           0       1e+05           0           0           0           0           0           0           0           0           0
        266           0        0.14           0       1e+05           0           0           0           0           0           0           0           0           0
        267         1.8         0.2           0       1e+05           0           0           0           0           0           0           0           0           0
